YEAR;MO;DY;ALLSKY_SFC_SW_DWN;ALLSKY_KT;T2M;T2M_MAX;T2M_MIN;TS;RH2M;PRECTOTCORR;PS;WS10M;WD10M
1984;5;28;6.31;0.55;21.88;29.51;14.96;23.02;47.06;2.11;98.01;3.09;291.31
1984;5;29;7.24;0.63;22.43;29.83;15.25;23.79;50.81;0;97.92;3.37;213.69
1984;5;30;6.33;0.55;24.21;31.27;16.57;25.15;49.19;0;97.97;2.38;216.12
1984;5;31;7.88;0.69;25.8;33.68;17.57;27.07;45.12;0;98.17;2.49;262.69
1984;6;1;4.5;0.39;25.53;33.3;18.49;26.64;53.12;0;98.27;2.08;267
1984;6;2;4.69;0.41;24.23;30.05;19.17;25.65;54.38;0.15;97.79;3.2;165.44
1984;6;3;3.78;0.33;23.54;28.63;18.11;24.43;55.19;9.02;97.51;2.62;247
1984;6;4;5.65;0.49;23.17;29.77;16.52;24.35;59.19;0.07;98.1;3.07;231.19
1984;6;5;7.67;0.66;25.7;32.85;18.46;26.94;54.56;0;98.55;2.47;220.44
1984;6;6;7.73;0.67;28.05;37.01;19.98;29.16;38.19;0;98.41;3.03;232.94
1984;6;7;7.9;0.69;28.99;37.46;21.24;30.14;36.69;0;98.06;2.9;237.75
1984;6;8;7.84;0.68;29.05;36.6;21.27;30.45;38.31;0;97.82;2.74;245.06
1984;6;9;7.13;0.62;27.09;34.59;20.38;28.66;51.06;0;97.88;3.31;234.94
1984;6;10;6.98;0.61;25.87;32.88;19.05;27.7;42.19;0;98.11;3.27;266.5
1984;6;11;8.25;0.72;26.22;34.33;19.01;28.12;32.06;0;98.38;3.61;287.5
1984;6;12;8.37;0.73;26.14;34.86;18.09;27.98;31.19;0;98.26;3.55;215.19
1984;6;13;7.88;0.68;24.74;30.8;19.11;26.39;42.25;0;98.08;3.74;172.44
1984;6;14;7.68;0.66;25.66;33.6;18.93;27.69;33.5;0;98.18;5.1;264
1984;6;15;7.75;0.67;23.97;32.63;15.34;25.96;25.56;0;98.11;4.45;225.44
1984;6;16;7.9;0.68;25.69;33.12;17.77;27.39;33.12;0;97.84;3.34;236.56
1984;6;17;7.94;0.69;28.24;36.93;19.35;30.13;28.81;0;97.77;2.69;229.44
